"TIMESTAMP","MODEL","PATH","USER","TOKENS","COST","CACHE STATUS","SCORE","TRACE ID"
"Sep 09, 06:27:53 AM","gpt-4o-mini","","","295","0.0049 cents","DISABLED","0","db62d9d8-c21d-4b82-8469-8ae529469843"
"Sep 09, 06:27:53 AM","gpt-4o-2024-08-06","","","1907","0.5098 cents","DISABLED","0","db62d9d8-c21d-4b82-8469-8ae529469843"
"Sep 09, 06:27:52 AM","gpt-4o-2024-08-06","","","2237","0.5847 cents","DISABLED","0","db62d9d8-c21d-4b82-8469-8ae529469843"
"Sep 09, 06:27:50 AM","gpt-4o-2024-08-06","","","2318","0.617 cents","DISABLED","0","db62d9d8-c21d-4b82-8469-8ae529469843"
"Sep 09, 06:27:48 AM","gpt-4o-2024-08-06","","","2596","0.6768 cents","DISABLED","0","db62d9d8-c21d-4b82-8469-8ae529469843"
"Sep 09, 06:27:46 AM","gpt-4o-2024-08-06","","","2302","0.6198 cents","DISABLED","0","db62d9d8-c21d-4b82-8469-8ae529469843"
"Sep 09, 06:27:45 AM","gpt-4o-2024-08-06","","","2294","0.6275 cents","DISABLED","0","db62d9d8-c21d-4b82-8469-8ae529469843"
"Sep 09, 06:27:43 AM","gpt-4o-2024-08-06","","","2145","0.564 cents","DISABLED","0","db62d9d8-c21d-4b82-8469-8ae529469843"
"Sep 09, 06:27:42 AM","gpt-4o-mini","","","279","0.0046 cents","DISABLED","0","db62d9d8-c21d-4b82-8469-8ae529469843"
"Sep 09, 06:27:41 AM","gpt-4o-2024-08-06","","","1818","0.468 cents","DISABLED","0","db62d9d8-c21d-4b82-8469-8ae529469843"
"Sep 09, 06:27:35 AM","gpt-4o-2024-08-06","","","2554","0.691 cents","DISABLED","0","81c4df54-7fd0-4c32-99d7-6606fc2edc8e"
"Sep 09, 06:27:32 AM","gpt-4o-2024-08-06","","","2677","0.721 cents","DISABLED","0","81c4df54-7fd0-4c32-99d7-6606fc2edc8e"
"Sep 09, 06:27:31 AM","gpt-4o-2024-08-06","","","1958","0.5255 cents","DISABLED","0","81c4df54-7fd0-4c32-99d7-6606fc2edc8e"
"Sep 09, 06:27:30 AM","gpt-4o-mini","","","298","0.0051 cents","DISABLED","0","81c4df54-7fd0-4c32-99d7-6606fc2edc8e"
"Sep 09, 06:27:29 AM","gpt-4o-2024-08-06","","","2701","0.7015 cents","DISABLED","0","81c4df54-7fd0-4c32-99d7-6606fc2edc8e"
"Sep 09, 06:27:27 AM","gpt-4o-2024-08-06","","","2282","0.6162 cents","DISABLED","0","81c4df54-7fd0-4c32-99d7-6606fc2edc8e"
"Sep 09, 06:27:26 AM","gpt-4o-2024-08-06","","","2290","0.6048 cents","DISABLED","0","81c4df54-7fd0-4c32-99d7-6606fc2edc8e"
"Sep 09, 06:27:24 AM","gpt-4o-2024-08-06","","","2305","0.6332 cents","DISABLED","0","81c4df54-7fd0-4c32-99d7-6606fc2edc8e"
"Sep 09, 06:27:23 AM","gpt-4o-2024-08-06","","","1915","0.5155 cents","DISABLED","0","81c4df54-7fd0-4c32-99d7-6606fc2edc8e"
"Sep 09, 06:27:22 AM","gpt-4o-mini","","","291","0.0049 cents","DISABLED","0","81c4df54-7fd0-4c32-99d7-6606fc2edc8e"
"Sep 09, 06:27:21 AM","gpt-4o-2024-08-06","","","2266","0.5883 cents","DISABLED","0","81c4df54-7fd0-4c32-99d7-6606fc2edc8e"
"Sep 09, 06:27:19 AM","gpt-4o-2024-08-06","","","2257","0.5823 cents","DISABLED","0","81c4df54-7fd0-4c32-99d7-6606fc2edc8e"
"Sep 09, 06:27:18 AM","gpt-4o-2024-08-06","","","2145","0.564 cents","DISABLED","0","81c4df54-7fd0-4c32-99d7-6606fc2edc8e"
"Sep 09, 06:27:17 AM","gpt-4o-mini","","","279","0.0046 cents","DISABLED","0","81c4df54-7fd0-4c32-99d7-6606fc2edc8e"
"Sep 09, 06:27:17 AM","gpt-4o-2024-08-06","","","1867","0.4803 cents","DISABLED","0","81c4df54-7fd0-4c32-99d7-6606fc2edc8e"
"Sep 09, 06:27:06 AM","gpt-4o-2024-08-06","","","2269","0.61 cents","DISABLED","0","dbb3d415-0b71-4068-92d8-b73f7fd6cb83"
"Sep 09, 06:27:04 AM","gpt-4o-2024-08-06","","","2672","0.7265 cents","DISABLED","0","dbb3d415-0b71-4068-92d8-b73f7fd6cb83"
"Sep 09, 06:27:03 AM","gpt-4o-2024-08-06","","","1922","0.5248 cents","DISABLED","0","dbb3d415-0b71-4068-92d8-b73f7fd6cb83"
"Sep 09, 06:27:02 AM","gpt-4o-mini","","","276","0.0045 cents","DISABLED","0","dbb3d415-0b71-4068-92d8-b73f7fd6cb83"
"Sep 09, 06:27:02 AM","gpt-4o-2024-08-06","","","2613","0.6668 cents","DISABLED","0","dbb3d415-0b71-4068-92d8-b73f7fd6cb83"
"Sep 09, 06:26:59 AM","gpt-4o-2024-08-06","","","2695","0.7083 cents","DISABLED","0","dbb3d415-0b71-4068-92d8-b73f7fd6cb83"
"Sep 09, 06:26:57 AM","gpt-4o-2024-08-06","","","2713","0.7502 cents","DISABLED","0","dbb3d415-0b71-4068-92d8-b73f7fd6cb83"
"Sep 09, 06:26:56 AM","gpt-4o-2024-08-06","","","1870","0.5005 cents","DISABLED","0","dbb3d415-0b71-4068-92d8-b73f7fd6cb83"
"Sep 09, 06:26:55 AM","gpt-4o-mini","","","300","0.0051 cents","DISABLED","0","dbb3d415-0b71-4068-92d8-b73f7fd6cb83"
"Sep 09, 06:26:55 AM","gpt-4o-2024-08-06","","","2614","0.6813 cents","DISABLED","0","dbb3d415-0b71-4068-92d8-b73f7fd6cb83"
"Sep 09, 06:26:53 AM","gpt-4o-2024-08-06","","","2277","0.6083 cents","DISABLED","0","dbb3d415-0b71-4068-92d8-b73f7fd6cb83"
"Sep 09, 06:26:51 AM","gpt-4o-2024-08-06","","","2286","0.5903 cents","DISABLED","0","dbb3d415-0b71-4068-92d8-b73f7fd6cb83"
